ERROR 2018-10-23 16:32:17,341 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:54:58,755 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 70812
ERROR 2018-10-23 16:56:27,521 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:56:27,563 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:56:27,568 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 16:56:27,779 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 70812
WARNING 2018-10-23 16:56:38,600 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:56:38,601 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 16:56:38,684 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:56:38,688 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
ERROR 2018-10-23 16:56:38,690 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:56:38,877 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 70812
WARNING 2018-10-23 16:58:31,279 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:58:31,282 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 16:58:32,345 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:58:32,346 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 16:58:32,436 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:58:32,436 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
INFO 2018-10-23 16:58:32,531 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 17:20:11,724 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:20:11,726 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 17:20:12,654 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:20:12,657 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 17:20:12,759 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:20:12,760 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
INFO 2018-10-23 17:20:13,588 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 17:22:39,666 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:22:39,666 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
INFO 2018-10-23 17:22:40,308 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 17:34:42,299 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:34:42,301 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 17:34:43,603 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:34:43,604 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
WARNING 2018-10-23 17:34:43,688 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 17:34:43,689 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2201
INFO 2018-10-23 17:34:44,450 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:36:01,793 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:36:03,453 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:36:03,565 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:36:04,724 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:36:23,442 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:36:39,068 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:40:11,524 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:40:13,902 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:40:15,559 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:40:20,675 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 17:41:04,544 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 25
INFO 2018-10-23 17:41:17,853 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
WARNING 2018-10-23 17:41:17,940 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 25
INFO 2018-10-23 17:41:17,989 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:41:32,260 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:41:32,961 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:42:44,218 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:42:44,907 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:47:12,167 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:47:13,232 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 23
INFO 2018-10-23 17:47:14,700 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 23
INFO 2018-10-23 17:47:15,300 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 23
INFO 2018-10-23 17:47:15,520 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 23
INFO 2018-10-23 17:47:35,040 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:47:35,091 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 23
INFO 2018-10-23 17:47:35,097 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:47:40,281 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:47:47,643 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:49:07,460 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:49:07,549 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 17:49:08,226 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-23 17:50:02,973 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
WARNING 2018-10-23 17:50:02,977 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 400 25
INFO 2018-10-23 17:50:03,021 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
WARNING 2018-10-23 21:40:17,469 base 152 Not Found: /usernames/fanfan/count/
WARNING 2018-10-23 21:40:17,469 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 404 2541
INFO 2018-10-23 21:40:29,568 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 21:40:29,643 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 21:40:30,314 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 21:40:52,415 base 152 Not Found: /usernames/fanfan/count/
WARNING 2018-10-23 21:40:52,420 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 404 2541
INFO 2018-10-23 21:40:52,424 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
WARNING 2018-10-23 21:40:52,430 basehttp 124 "POST /users/ HTTP/1.1" 400 46
INFO 2018-10-23 21:40:52,533 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 21:41:56,593 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-23 21:41:57,231 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
WARNING 2018-10-23 21:42:12,641 base 152 Not Found: /usernames/fanfan/count/
WARNING 2018-10-23 21:42:12,648 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 404 2541
WARNING 2018-10-23 21:42:12,645 basehttp 124 "POST /users/ HTTP/1.1" 400 46
INFO 2018-10-23 21:42:12,678 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
WARNING 2018-10-23 21:42:31,761 base 152 Not Found: /usernames/fanfan/count/
WARNING 2018-10-23 21:42:31,762 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 404 2541
WARNING 2018-10-23 21:42:31,772 basehttp 124 "POST /users/ HTTP/1.1" 400 46
INFO 2018-10-23 21:42:31,828 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 09:05:26,159 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 09:05:26,183 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-24 09:05:26,224 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
WARNING 2018-10-24 09:44:01,777 base 152 Not Found: /usernames/fanfan/count/
WARNING 2018-10-24 09:44:01,780 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 404 2735
INFO 2018-10-24 09:44:37,087 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 200 31
INFO 2018-10-24 09:45:07,233 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 09:45:07,308 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 09:45:07,448 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-24 09:45:28,911 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
WARNING 2018-10-24 09:45:28,951 basehttp 124 "POST /users/ HTTP/1.1" 400 46
INFO 2018-10-24 09:45:29,012 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 09:45:29,021 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 200 31
INFO 2018-10-24 10:25:37,108 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 200 31
INFO 2018-10-24 10:25:49,302 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 10:25:52,930 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 10:25:53,032 basehttp 124 "GET /sms_code/15829651274/ HTTP/1.1" 200 16
INFO 2018-10-24 10:26:11,874 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 10:26:11,919 basehttp 124 "GET /usernames/fanfan/count/ HTTP/1.1" 200 31
INFO 2018-10-24 10:26:11,934 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 10:26:12,412 basehttp 124 "POST /users/ HTTP/1.1" 201 131
INFO 2018-10-24 10:34:16,212 basehttp 124 "GET /usernames/159288/count/ HTTP/1.1" 200 31
INFO 2018-10-24 14:11:50,189 basehttp 124 "GET /usernames/15928829651271/count/ HTTP/1.1" 200 39
INFO 2018-10-24 14:12:49,107 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:12:52,671 basehttp 124 "GET /mobiles/15829651272/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:12:54,464 basehttp 124 "GET /mobiles/15829651272/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:12:54,716 basehttp 124 "GET /sms_code/15829651272/ HTTP/1.1" 200 16
INFO 2018-10-24 14:13:13,648 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 14:13:13,667 basehttp 124 "GET /usernames/15928829651271/count/ HTTP/1.1" 200 39
INFO 2018-10-24 14:13:13,686 basehttp 124 "GET /mobiles/15829651272/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:13:13,855 basehttp 124 "POST /users/ HTTP/1.1" 201 59
INFO 2018-10-24 14:19:55,015 basehttp 124 "GET /usernames/11ASDADSAD/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:20:09,754 basehttp 124 "GET /mobiles/15829651273/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:20:12,528 basehttp 124 "GET /mobiles/15829651273/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:20:12,592 basehttp 124 "GET /sms_code/15829651273/ HTTP/1.1" 200 16
INFO 2018-10-24 14:20:34,950 basehttp 124 "GET /usernames/11ASDADSAD/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:20:34,964 basehttp 124 "GET /mobiles/15829651273/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:20:35,021 basehttp 124 "POST /users/ HTTP/1.1" 201 55
INFO 2018-10-24 14:22:01,391 basehttp 124 "GET /usernames/223232432/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:20,421 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:21,315 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:25,148 basehttp 124 "GET /mobiles/15829651275/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:25,267 basehttp 124 "GET /mobiles/15829651275/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:25,396 basehttp 124 "GET /sms_code/15829651275/ HTTP/1.1" 200 16
INFO 2018-10-24 14:22:45,291 basehttp 124 "GET /mobiles/15829651275/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:45,296 basehttp 124 "GET /usernames/223232432/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:22:45,358 basehttp 124 "POST /users/ HTTP/1.1" 201 54
INFO 2018-10-24 14:23:16,280 basehttp 124 "GET /usernames/qwwwqwq/count/ HTTP/1.1" 200 32
INFO 2018-10-24 14:23:25,979 basehttp 124 "GET /usernames/qwwwqwq/count/ HTTP/1.1" 200 32
INFO 2018-10-24 14:23:31,677 basehttp 124 "GET /mobiles/15829651278/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:23:32,529 basehttp 124 "GET /mobiles/15829651278/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:23:32,555 basehttp 124 "GET /sms_code/15829651278/ HTTP/1.1" 200 16
INFO 2018-10-24 14:23:51,661 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 14:23:51,672 basehttp 124 "GET /usernames/qwwwqwq/count/ HTTP/1.1" 200 32
INFO 2018-10-24 14:23:51,674 basehttp 124 "GET /mobiles/15829651278/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:23:51,716 basehttp 124 "POST /users/ HTTP/1.1" 201 227
INFO 2018-10-24 14:27:26,911 basehttp 124 "GET /usernames/1221321324/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:27:44,542 basehttp 124 "GET /mobiles/15829651276/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:27:44,645 basehttp 124 "GET /sms_code/15829651276/ HTTP/1.1" 200 16
INFO 2018-10-24 14:27:44,652 basehttp 124 "GET /mobiles/15829651276/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:28:10,846 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 14:28:10,859 basehttp 124 "GET /mobiles/15829651276/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:28:10,860 basehttp 124 "GET /usernames/1221321324/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:28:10,936 basehttp 124 "POST /users/ HTTP/1.1" 201 234
INFO 2018-10-24 14:43:29,076 basehttp 124 "GET /usernames/sasasasasa/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:43:53,539 basehttp 124 "GET /mobiles/15829651222/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:43:53,646 basehttp 124 "GET /mobiles/15829651222/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:43:53,647 basehttp 124 "GET /sms_code/15829651222/ HTTP/1.1" 200 16
INFO 2018-10-24 14:44:20,754 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 14:44:20,774 basehttp 124 "GET /usernames/sasasasasa/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:44:20,778 basehttp 124 "GET /mobiles/15829651222/count/ HTTP/1.1" 200 34
WARNING 2018-10-24 14:44:20,782 basehttp 124 "POST /users/ HTTP/1.1" 400 46
INFO 2018-10-24 14:55:36,129 basehttp 124 "GET /sms_code/15829651222/ HTTP/1.1" 200 16
INFO 2018-10-24 14:55:36,142 basehttp 124 "GET /mobiles/15829651222/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:56:06,565 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 14:56:06,577 basehttp 124 "GET /usernames/sasasasasa/count/ HTTP/1.1" 200 35
INFO 2018-10-24 14:56:06,580 basehttp 124 "GET /mobiles/15829651222/count/ HTTP/1.1" 200 34
INFO 2018-10-24 14:56:06,620 basehttp 124 "POST /users/ HTTP/1.1" 201 234
INFO 2018-10-24 14:56:13,056 basehttp 124 "OPTIONS /user/ HTTP/1.1" 200 0
WARNING 2018-10-24 14:56:13,117 base 152 Not Found: /user/
WARNING 2018-10-24 14:56:13,119 basehttp 124 "GET /user/ HTTP/1.1" 404 2683
WARNING 2018-10-24 14:56:29,717 base 152 Not Found: /user/
WARNING 2018-10-24 14:56:29,718 basehttp 124 "GET /user/ HTTP/1.1" 404 2683
WARNING 2018-10-24 14:56:38,079 base 152 Not Found: /user/
WARNING 2018-10-24 14:56:38,081 basehttp 124 "GET /user/ HTTP/1.1" 404 2683
WARNING 2018-10-24 14:57:06,889 base 152 Not Found: /user/
WARNING 2018-10-24 14:57:06,892 basehttp 124 "GET /user/ HTTP/1.1" 404 2683
WARNING 2018-10-24 14:57:59,483 base 152 Not Found: /areas/
WARNING 2018-10-24 14:57:59,484 basehttp 124 "GET /areas/ HTTP/1.1" 404 2686
INFO 2018-10-24 14:57:59,487 basehttp 124 "OPTIONS /addresses/ HTTP/1.1" 200 0
WARNING 2018-10-24 14:57:59,537 base 152 Not Found: /addresses/
WARNING 2018-10-24 14:57:59,538 basehttp 124 "GET /addresses/ HTTP/1.1" 404 2698
WARNING 2018-10-24 14:58:03,214 base 152 Not Found: /user/
WARNING 2018-10-24 14:58:03,215 basehttp 124 "GET /user/ HTTP/1.1" 404 2683
INFO 2018-10-24 15:29:50,322 basehttp 124 "OPTIONS /addresses/ HTTP/1.1" 200 0
WARNING 2018-10-24 15:29:51,479 base 152 Not Found: /addresses/
WARNING 2018-10-24 15:29:51,482 basehttp 124 "GET /addresses/ HTTP/1.1" 404 2853
INFO 2018-10-24 15:29:52,647 basehttp 124 "OPTIONS /user/ HTTP/1.1" 200 0
ERROR 2018-10-24 15:29:52,703 exception 135 Internal Server Error: /user/
Traceback (most recent call last):
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/exception.py", line 41, in inner
    response = get_response(request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 187, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 185, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/decorators/csrf.py", line 58, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/generic/base.py", line 68, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 495, in dispatch
    response = self.handle_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 455, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 492, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/generics.py", line 210, in get
    return self.retrieve(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/mixins.py", line 56, in retrieve
    instance = self.get_object()
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/generics.py", line 94, in get_object
    (self.__class__.__name__, lookup_url_kwarg)
AssertionError: Expected view UserView to be called with a URL keyword argument named "pk". Fix your URL conf, or set the `.lookup_field` attribute on the view correctly.
ERROR 2018-10-24 15:29:52,928 basehttp 124 "GET /user/ HTTP/1.1" 500 18674
ERROR 2018-10-24 15:30:03,581 exception 135 Internal Server Error: /user/
Traceback (most recent call last):
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/exception.py", line 41, in inner
    response = get_response(request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 187, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 185, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/decorators/csrf.py", line 58, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/generic/base.py", line 68, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 495, in dispatch
    response = self.handle_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 455, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 492, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/generics.py", line 210, in get
    return self.retrieve(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/mixins.py", line 56, in retrieve
    instance = self.get_object()
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/generics.py", line 94, in get_object
    (self.__class__.__name__, lookup_url_kwarg)
AssertionError: Expected view UserView to be called with a URL keyword argument named "pk". Fix your URL conf, or set the `.lookup_field` attribute on the view correctly.
ERROR 2018-10-24 15:30:03,649 basehttp 124 "GET /user/ HTTP/1.1" 500 18674
ERROR 2018-10-24 15:30:50,765 exception 135 Internal Server Error: /user/
Traceback (most recent call last):
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/exception.py", line 41, in inner
    response = get_response(request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 187, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/core/handlers/base.py", line 185, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/decorators/csrf.py", line 58, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/django/views/generic/base.py", line 68, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 495, in dispatch
    response = self.handle_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 455, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/views.py", line 492, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/generics.py", line 210, in get
    return self.retrieve(request, *args, **kwargs)
  File "/home/python/.virtualenvs/django_py3_1.11/lib/python3.5/site-packages/rest_framework/mixins.py", line 56, in retrieve
    instance = self.get_object()
